         65600 function calls (64307 primitive calls) in 3.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       77    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
        1    0.000    0.000    0.000    0.000 _util.py:1(<module>)
        4    0.000    0.000    0.000    0.000 argparse.py:957(__init__)
       16    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        2    0.000    0.000    0.000    0.000 functools.py:35(update_wrapper)
        5    0.000    0.000    0.000    0.000 __init__.py:1392(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:3249(_apply_env_variables)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.round}
        1    0.000    0.000    0.000    0.000 ImageMode.py:17(<module>)
      110    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
       41    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 {method 'view' of 'numpy.ndarray' objects}
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
        1    0.000    0.000    0.000    0.000 _dtype.py:307(_name_includes_bit_suffix)
        1    0.000    0.000    0.000    0.000 features.py:72(check_codec)
        1    0.000    0.000    0.000    0.000 _base.py:149(__enter__)
        3    0.000    0.000    0.000    0.000 __init__.py:1424(info)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.raw_encoder}
       19    0.000    0.000    0.000    0.000 __init__.py:223(_releaseLock)
        8    0.000    0.000    0.000    0.000 argparse.py:814(__init__)
       23    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:971(get_filename)
       73    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
        9    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        8    0.000    0.000    0.000    0.000 argparse.py:1560(_pop_action_class)
        5    0.000    0.000    0.000    0.000 _weakrefset.py:82(add)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:682(__contains__)
        4    0.000    0.000    0.000    0.000 Image.py:530(__init__)
       12    0.000    0.000    0.000    0.000 types.py:171(__get__)
        8    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       20    0.000    0.000    0.000    0.000 Image.py:3081(register_mime)
       91    0.000    0.000    0.000    0.000 pillow.py:72(plugin_id)
        1    0.000    0.000    0.000    0.000 numerictypes.py:360(issubdtype)
        5    0.000    0.000    0.000    0.000 {method 'put' of '_queue.SimpleQueue' objects}
       18    0.000    0.000    0.000    0.000 argparse.py:1360(_registry_get)
        6    0.000    0.000    0.000    0.000 locale.py:386(normalize)
       74    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:189(crc)
       94    0.000    0.000    0.000    0.000 format.py:144(extensions)
        1    0.000    0.000    0.000    0.000 threading.py:398(__init__)
        4    0.000    0.000    0.000    0.000 argparse.py:934(__init__)
        1    0.000    0.000    0.000    0.000 ImageColor.py:20(<module>)
        1    0.000    0.000    0.000    0.000 contextlib.py:215(contextmanager)
        1    0.000    0.000    0.000    0.000 features.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pillow.py:152(_close)
        1    0.000    0.000    0.000    0.000 Image.py:419(_getdecoder)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.fill}
        1    0.000    0.000    0.000    0.000 ImagePalette.py:142(raw)
        7    0.000    0.000    0.000    0.000 fractions.py:276(_operator_fallbacks)
       12    0.000    0.000    0.000    0.000 threading.py:265(_release_save)
        1    0.000    0.000    0.000    0.000 thread.py:112(ThreadPoolExecutor)
        1    0.000    0.000    0.000    0.000 __init__.py:549(__init__)
       26    0.000    0.000    0.000    0.000 TiffImagePlugin.py:361(_delegate)
       87    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Image.py:1667(putdata)
        1    0.000    0.000    0.000    0.000 ImageChops.py:18(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:834(_addHandlerRef)
       94    0.000    0.000    0.000    0.000 request.py:276(extension)
        1    0.000    0.000    0.000    0.000 calendar.py:50(_localized_month)
       13    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       58    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 api.py:23(FFI)
        1    0.000    0.000    0.000    0.000 __init__.py:882(createLock)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:39(__init__)
        5    0.000    0.000    0.000    0.000 threading.py:82(RLock)
       22    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       39    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:781(create_module)
        1    0.000    0.000    0.000    0.000 weakref.py:105(__init__)
        1    0.000    0.000    0.000    0.000 queue.py:28(Queue)
        2    0.000    0.000    0.000    0.000 PngImagePlugin.py:137(_crc32)
        1    0.000    0.000    0.000    0.000 request.py:476(read_n_bytes)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:60(BmpImageFile)
       39    0.000    0.000    0.000    0.000 request.py:284(mode)
        8    0.000    0.000    0.000    0.000 argparse.py:580(format)
       13    0.000    0.000    0.000    0.000 posixpath.py:41(_get_sep)
       22    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 enum.py:846(__or__)
        1    0.000    0.000    0.000    0.000 request.py:133(_parse_uri)
        2    0.000    0.000    0.000    0.000 model.py:264(__init__)
       48    0.000    0.000    0.000    0.000 CoulAdj-Py.py:199(red_from_RGBA)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1407(<genexpr>)
       48    0.000    0.000    0.000    0.000 CoulAdj-Py.py:202(gre_from_RGBA)
        1    0.000    0.000    0.000    0.000 JpegPresets.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
        1    0.000    0.000    0.000    0.000 olefile.py:972(OleFileIO)
       48    0.000    0.000    0.000    0.000 CoulAdj-Py.py:205(blu_from_RGBA)
        1    0.000    0.000    0.000    0.000 calendar.py:69(_localized_day)
        4    0.000    0.000    0.000    0.000 threading.py:1189(_make_invoke_excepthook)
       48    0.000    0.000    0.000    0.000 CoulAdj-Py.py:208(alp_from_RGBA)
        8    0.000    0.000    0.000    0.000 util.py:204(__getattribute__)
        3    0.000    0.000    0.000    0.000 _binary.py:50(i32le)
        1    0.000    0.000    0.000    0.000 ElementTree.py:125(Element)
        3    0.000    0.000    0.000    0.000 os.py:758(decode)
       47    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
        1    0.000    0.000    0.000    0.000 DcxImagePlugin.py:31(_accept)
        3    0.000    0.000    0.000    0.000 argparse.py:1564(_get_handler)
        1    0.000    0.000    0.000    0.000 __init__.py:242(_register_at_fork_reinit_lock)
        1    0.000    0.000    0.000    0.000 __init__.py:420(validate)
        1    0.000    0.000    0.000    0.000 calendar.py:52(<listcomp>)
        1    0.000    0.000    0.000    0.000 IcnsImagePlugin.py:131(IcnsFile)
       24    0.000    0.000    0.000    0.000 CoulAdj-Py.py:193(colour_RGBA_from_relation)
        2    0.000    0.000    0.000    0.000 __init__.py:1589(addHandler)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.zip_decoder}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:408(chunk_IHDR)
        1    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _base.py:225(<genexpr>)
       13    0.000    0.000    0.000    0.000 {built-in method time.perf_counter}
        1    0.000    0.000    0.000    0.000 weakref.py:365(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:343(PngStream)
        2    0.000    0.000    0.000    0.000 numerictypes.py:286(issubclass_)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1778(C14NWriterTarget)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1022(_idat)
        8    0.000    0.000    0.000    0.000 argparse.py:1573(_check_conflict)
        8    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 posixpath.py:140(basename)
        3    0.000    0.000    0.000    0.000 argparse.py:2279(_get_nargs_pattern)
        2    0.000    0.000    0.000    0.000 {built-in method zlib.crc32}
        8    0.000    0.000    0.000    0.000 {method 'fileno' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 olefile.py:684(OleDirectoryEntry)
        1    0.000    0.000    0.000    0.000 request.py:380(finish)
        3    0.000    0.000    0.000    0.000 sre_compile.py:432(_generate_overlap_table)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:344(__init__)
        8    0.000    0.000    0.000    0.000 argparse.py:571(_metavar_formatter)
        8    0.000    0.000    0.000    0.000 argparse.py:203(__init__)
        1    0.000    0.000    0.000    0.000 _binary.py:15(<module>)
        4    0.000    0.000    0.000    0.000 thread.py:41(__init__)
        9    0.000    0.000    0.000    0.000 __init__.py:189(_checkLevel)
        1    0.000    0.000    0.000    0.000 IcnsImagePlugin.py:232(IcnsImageFile)
       18    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
        1    0.000    0.000    0.000    0.000 model.py:297(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1079(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:1098(__init__)
        1    0.000    0.000    0.000    0.000 Image.py:275(_conv_type_shape)
       14    0.000    0.000    0.000    0.000 {method 'remove' of 'set' objects}
        1    0.000    0.000    0.000    0.000 calendar.py:72(<listcomp>)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:50(GifImageFile)
       23    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        8    0.000    0.000    0.000    0.000 threading.py:1107(daemon)
        7    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 threading.py:1363(_register_atexit)
        1    0.000    0.000    0.000    0.000 Image.py:3285(Exif)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:1649(AppendingTiffWriter)
        1    0.000    0.000    0.000    0.000 calendar.py:148(Calendar)
        1    0.000    0.000    0.000    0.000 GbrImagePlugin.py:31(_accept)
       21    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 format.py:237(__enter__)
        2    0.000    0.000    0.000    0.000 argparse.py:1510(_get_positional_kwargs)
        1    0.000    0.000    0.000    0.000 pillow.py:651(save_pillow_close)
        1    0.000    0.000    0.000    0.000 Image.py:617(_ensure_mutable)
        8    0.000    0.000    0.000    0.000 {built-in method time.monotonic}
        1    0.000    0.000    0.000    0.000 PdfParser.py:227(<setcomp>)
       12    0.000    0.000    0.000    0.000 {method 'append' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:423(chunk_IDAT)
        7    0.000    0.000    0.000    0.000 __init__.py:767(__init__)
        1    0.000    0.000    0.000    0.000 {method 'putdata' of 'ImagingCore' objects}
        8    0.000    0.000    0.000    0.000 {method 'items' of 'collections.OrderedDict' objects}
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1095(__init__)
        1    0.000    0.000    0.000    0.000 {method 'search' of 're.Pattern' objects}
        8    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.RLock' objects}
        1    0.000    0.000    0.000    0.000 BufrStubImagePlugin.py:35(BufrStubImageFile)
        1    0.000    0.000    0.000    0.000 model.py:278(ConstPointerType)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:893(ImageFileDirectory_v1)
        1    0.000    0.000    0.000    0.000 calendar.py:546(different_locale)
        1    0.000    0.000    0.000    0.000 weakref.py:287(update)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1281(XMLPullParser)
       16    0.000    0.000    0.000    0.000 {method 'release' of '_thread.lock' objects}
       24    0.000    0.000    0.000    0.000 CoulAdj-Py.py:196(adjacent_RGBA_from_relation)
        1    0.000    0.000    0.000    0.000 model.py:102(PrimitiveType)
        5    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        6    0.000    0.000    0.000    0.000 __init__.py:1663(getEffectiveLevel)
        1    0.000    0.000    0.000    0.000 lock.py:1(<module>)
        1    0.000    0.000    0.000    0.000 WmfImagePlugin.py:78(WmfStubImageFile)
        1    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 olefile.py:378(OleMetadata)
       12    0.000    0.000    0.000    0.000 enum.py:683(value)
        4    0.000    0.000    0.000    0.000 format.py:230(request)
        1    0.000    0.000    0.000    0.000 {method 'putpalette' of 'ImagingCore' objects}
        2    0.000    0.000    0.000    0.000 format.py:269(_checkClosed)
        1    0.000    0.000    0.000    0.000 Jpeg2KImagePlugin.py:157(Jpeg2KImageFile)
        4    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
        1    0.000    0.000    0.000    0.000 _base.py:153(__exit__)
        1    0.000    0.000    0.000    0.000 ImageSequence.py:19(Iterator)
        1    0.000    0.000    0.000    0.000 FliImagePlugin.py:28(_accept)
        9    0.000    0.000    0.000    0.000 __init__.py:419(<genexpr>)
        1    0.000    0.000    0.000    0.000 queue.py:258(_PySimpleQueue)
        9    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:992(TiffImageFile)
        4    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
        5    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        1    0.000    0.000    0.000    0.000 IcoImagePlugin.py:256(IcoImageFile)
        1    0.000    0.000    0.000    0.000 FtexImagePlugin.py:64(FtexImageFile)
        1    0.000    0.000    0.000    0.000 tifffile.py:206(_can_read)
       29    0.000    0.000    0.000    0.000 {method 'clear' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 PsdImagePlugin.py:52(PsdImageFile)
        4    0.000    0.000    0.000    0.000 Image.py:3103(register_save_all)
        1    0.000    0.000    0.000    0.000 pillow.py:148(_get_file)
        1    0.000    0.000    0.000    0.000 model.py:489(EnumType)
        1    0.000    0.000    0.000    0.000 SpiderImagePlugin.py:93(SpiderImageFile)
        5    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
        2    0.000    0.000    0.000    0.000 functools.py:65(wraps)
        1    0.000    0.000    0.000    0.000 {built-in method _locale.nl_langinfo}
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:668(PngImageFile)
        1    0.000    0.000    0.000    0.000 {method 'setimage' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.000    0.000 WebPImagePlugin.py:37(WebPImageFile)
        4    0.000    0.000    0.000    0.000 _base.py:387(__get_result)
        1    0.000    0.000    0.000    0.000 model.py:178(UnknownIntegerType)
        1    0.000    0.000    0.000    0.000 ImImagePlugin.py:117(ImImageFile)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:892(_find_spec_legacy)
       18    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
        2    0.000    0.000    0.000    0.000 request.py:302(get_file)
        8    0.000    0.000    0.000    0.000 threading.py:529(is_set)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:145(ChunkStream)
        1    0.000    0.000    0.000    0.000 MpoImagePlugin.py:38(MpoImageFile)
        6    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
        1    0.000    0.000    0.000    0.000 Image.py:2580(_check_size)
        1    0.000    0.000    0.000    0.000 EpsImagePlugin.py:189(_accept)
        1    0.000    0.000    0.000    0.000 calendar.py:410(HTMLCalendar)
        2    0.000    0.000    0.000    0.000 model.py:12(qualify)
       10    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1515(XMLParser)
        1    0.000    0.000    0.000    0.000 argparse.py:2166(<listcomp>)
        3    0.000    0.000    0.000    0.000 argparse.py:2176(_parse_optional)
        1    0.000    0.000    0.000    0.000 ImageFile.py:585(PyDecoder)
        1    0.000    0.000    0.000    0.000 argparse.py:1809(_get_positional_actions)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:130(<dictcomp>)
        1    0.000    0.000    0.000    0.000 thread.py:40(_WorkItem)
        9    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        2    0.000    0.000    0.000    0.000 {method 'seek' of '_io.BufferedReader' objects}
        1    0.000    0.000    0.000    0.000 ElementTree.py:1393(TreeBuilder)
        1    0.000    0.000    0.000    0.000 calendar.py:293(TextCalendar)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:53(_dib_accept)
        2    0.000    0.000    0.000    0.000 request.py:294(kwargs)
        1    0.000    0.000    0.000    0.000 _util.py:5(isPath)
        1    0.000    0.000    0.000    0.000 model.py:344(StructOrUnion)
        3    0.000    0.000    0.000    0.000 __init__.py:1226(append)
        8    0.000    0.000    0.000    0.000 util.py:145(meta)
        1    0.000    0.000    0.000    0.000 model.py:25(BaseTypeByIdentity)
        1    0.000    0.000    0.000    0.000 calendar.py:154(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:928(__call__)
        1    0.000    0.000    0.000    0.000 FliImagePlugin.py:37(FliImageFile)
        4    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 EpsImagePlugin.py:159(PSFile)
        4    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        1    0.000    0.000    0.000    0.000 _binary.py:30(i16le)
        1    0.000    0.000    0.000    0.000 ElementTree.py:477(QName)
        1    0.000    0.000    0.000    0.000 ImageFile.py:89(ImageFile)
        1    0.000    0.000    0.000    0.000 model.py:160(__init__)
        6    0.000    0.000    0.000    0.000 argparse.py:609(<listcomp>)
        6    0.000    0.000    0.000    0.000 Image.py:551(size)
        1    0.000    0.000    0.000    0.000 EpsImagePlugin.py:198(EpsImageFile)
        1    0.000    0.000    0.000    0.000 ImagePalette.py:24(ImagePalette)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1243(__init__)
        1    0.000    0.000    0.000    0.000 ImageFile.py:349(Parser)
        6    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:337(JpegImageFile)
        4    0.000    0.000    0.000    0.000 Image.py:3148(register_decoder)
        1    0.000    0.000    0.000    0.000 _dtype.py:24(_kind_name)
        3    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:635(_register_writer)
        8    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:636(decorator)
        4    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 PdfParser.py:109(XrefTable)
        5    0.000    0.000    0.000    0.000 TiffImagePlugin.py:624(_register_loader)
        2    0.000    0.000    0.000    0.000 format.py:553(__iter__)
        1    0.000    0.000    0.000    0.000 TiffTags.py:23(TagInfo)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:24(BitStream)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:176(close)
        1    0.000    0.000    0.000    0.000 queue.py:242(LifoQueue)
        1    0.000    0.000    0.000    0.000 IcoImagePlugin.py:90(IcoFile)
        1    0.000    0.000    0.000    0.000 queue.py:223(PriorityQueue)
        4    0.000    0.000    0.000    0.000 sre_parse.py:162(__delitem__)
        2    0.000    0.000    0.000    0.000 PngImagePlugin.py:660(_accept)
        1    0.000    0.000    0.000    0.000 ImageFile.py:550(_safe_read)
        1    0.000    0.000    0.000    0.000 MicImagePlugin.py:36(MicImageFile)
        1    0.000    0.000    0.000    0.000 PdfParser.py:81(IndirectReference)
        1    0.000    0.000    0.000    0.000 DcxImagePlugin.py:39(DcxImageFile)
        1    0.000    0.000    0.000    0.000 FpxImagePlugin.py:50(FpxImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:237(iTXt)
        1    0.000    0.000    0.000    0.000 ElementTree.py:1116(_ListDataStream)
        1    0.000    0.000    0.000    0.000 argparse.py:2170(<listcomp>)
        1    0.000    0.000    0.000    0.000 argparse.py:1810(<listcomp>)
        1    0.000    0.000    0.000    0.000 {method 'cleanup' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 thread.py:106(BrokenThreadPool)
        1    0.000    0.000    0.000    0.000 argparse.py:951(__call__)
        1    0.000    0.000    0.000    0.000 Image.py:2834(_decompression_bomb_check)
        1    0.000    0.000    0.000    0.000 GimpPaletteFile.py:22(GimpPaletteFile)
        1    0.000    0.000    0.000    0.000 IptcImagePlugin.py:50(IptcImageFile)
        1    0.000    0.000    0.000    0.000 Image.py:473(_E)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:259(PngInfo)
        1    0.000    0.000    0.000    0.000 PaletteFile.py:19(PaletteFile)
        5    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        1    0.000    0.000    0.000    0.000 XpmImagePlugin.py:35(XpmImageFile)
        2    0.000    0.000    0.000    0.000 argparse.py:2494(_check_value)
        1    0.000    0.000    0.000    0.000 Hdf5StubImagePlugin.py:35(HDF5StubImageFile)
        2    0.000    0.000    0.000    0.000 calendar.py:74(__init__)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 BufrStubImagePlugin.py:31(_accept)
        1    0.000    0.000    0.000    0.000 PcdImagePlugin.py:26(PcdImageFile)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:47(PpmImageFile)
        1    0.000    0.000    0.000    0.000 model.py:327(StructOrUnionOrEnum)
        1    0.000    0.000    0.000    0.000 ImageFile.py:323(StubImageFile)
        1    0.000    0.000    0.000    0.000 GbrImagePlugin.py:39(GbrImageFile)
        1    0.000    0.000    0.000    0.000 calendar.py:558(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 model.py:293(ArrayType)
        1    0.000    0.000    0.000    0.000 __init__.py:1220(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:414(__init__)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:146(__init__)
        1    0.000    0.000    0.000    0.000 {method 'write' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 DdsImagePlugin.py:105(DdsImageFile)
        1    0.000    0.000    0.000    0.000 FitsStubImagePlugin.py:35(FITSStubImageFile)
        4    0.000    0.000    0.000    0.000 {method 'locked' of '_thread.lock' objects}
        1    0.000    0.000    0.000    0.000 BlpImagePlugin.py:276(_BLPBaseDecoder)
        1    0.000    0.000    0.000    0.000 ImageMode.py:20(ModeDescriptor)
        1    0.000    0.000    0.000    0.000 format.py:246(__del__)
        2    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 IcoImagePlugin.py:86(_accept)
        1    0.000    0.000    0.000    0.000 ImtImagePlugin.py:32(ImtImageFile)
        1    0.000    0.000    0.000    0.000 BlpImagePlugin.py:234(BlpImageFile)
        2    0.000    0.000    0.000    0.000 format.py:263(closed)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:49(_accept)
        1    0.000    0.000    0.000    0.000 GribStubImagePlugin.py:35(GribStubImageFile)
        1    0.000    0.000    0.000    0.000 {built-in method _elementtree._set_factories}
        1    0.000    0.000    0.000    0.000 calendar.py:589(LocaleHTMLCalendar)
        1    0.000    0.000    0.000    0.000 model.py:224(RawFunctionType)
        1    0.000    0.000    0.000    0.000 pillow.py:683(_palette_is_grayscale)
        1    0.000    0.000    0.000    0.000 BlpImagePlugin.py:318(BLP1Decoder)
        1    0.000    0.000    0.000    0.000 six.py:184(find_module)
        1    0.000    0.000    0.000    0.000 TgaImagePlugin.py:48(TgaImageFile)
        2    0.000    0.000    0.000    0.000 {built-in method sys._getframe}
        1    0.000    0.000    0.000    0.000 model.py:88(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:134(UnidentifiedImageError)
        1    0.000    0.000    0.000    0.000 {method 'toordinal' of 'datetime.date' objects}
        1    0.000    0.000    0.000    0.000 XVThumbImagePlugin.py:43(XVThumbImageFile)
        1    0.000    0.000    0.000    0.000 model.py:72(BaseType)
        1    0.000    0.000    0.000    0.000 ImageFile.py:574(PyCodecState)
        1    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
        1    0.000    0.000    0.000    0.000 XbmImagePlugin.py:46(XbmImageFile)
        1    0.000    0.000    0.000    0.000 BmpImagePlugin.py:277(DibImageFile)
        1    0.000    0.000    0.000    0.000 calendar.py:31(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:41(_accept)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:46(MspImageFile)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:66(GradientFile)
        1    0.000    0.000    0.000    0.000 model.py:85(VoidType)
        1    0.000    0.000    0.000    0.000 SgiImagePlugin.py:51(SgiImageFile)
        1    0.000    0.000    0.000    0.000 SunImagePlugin.py:32(SunImageFile)
        1    0.000    0.000    0.000    0.000 PixarImagePlugin.py:37(PixarImageFile)
        1    0.000    0.000    0.000    0.000 ElementPath.py:334(_SelectorContext)
        1    0.000    0.000    0.000    0.000 PcxImagePlugin.py:47(PcxImageFile)
        1    0.000    0.000    0.000    0.000 JpegImagePlugin.py:328(_accept)
        1    0.000    0.000    0.000    0.000 _util.py:14(deferred_error)
        1    0.000    0.000    0.000    0.000 MpegImagePlugin.py:60(MpegImageFile)
        1    0.000    0.000    0.000    0.000 __init__.py:2166(createLock)
        1    0.000    0.000    0.000    0.000 PdfParser.py:244(PdfDict)
        1    0.000    0.000    0.000    0.000 FpxImagePlugin.py:42(_accept)
        1    0.000    0.000    0.000    0.000 olefile.py:534(OleStream)
        1    0.000    0.000    0.000    0.000 model.py:261(PointerType)
        2    0.000    0.000    0.000    0.000 calendar.py:55(__init__)
        1    0.000    0.000    0.000    0.000 queue.py:23(Full)
        1    0.000    0.000    0.000    0.000 CurImagePlugin.py:34(CurImageFile)
        1    0.000    0.000    0.000    0.000 model.py:239(FunctionPtrType)
        1    0.000    0.000    0.000    0.000 McIdasImagePlugin.py:32(McIdasImageFile)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:1033(_fdat)
        1    0.000    0.000    0.000    0.000 SgiImagePlugin.py:199(SGI16Decoder)
        1    0.000    0.000    0.000    0.000 MspImagePlugin.py:74(MspDecoder)
        1    0.000    0.000    0.000    0.000 model.py:192(UnknownFloatType)
        1    0.000    0.000    0.000    0.000 PdfParser.py:292(PdfBinary)
        1    0.000    0.000    0.000    0.000 FtexImagePlugin.py:101(_validate)
        1    0.000    0.000    0.000    0.000 error.py:5(CDefError)
        1    0.000    0.000    0.000    0.000 GimpGradientFile.py:104(GimpGradientFile)
        2    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 Hdf5StubImagePlugin.py:31(_accept)
        1    0.000    0.000    0.000    0.000 Image.py:2549(ImagePointHandler)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 CurImagePlugin.py:26(_accept)
