         65600 function calls (64307 primitive calls) in 3.381 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        3    0.000    0.000    0.001    0.000 gettext.py:583(translation)
        1    0.000    0.000    0.001    0.001 fractions.py:4(<module>)
        3    0.000    0.000    0.001    0.000 gettext.py:542(find)
      158    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:301(cache_from_source)
        1    0.000    0.000    0.001    0.001 ImagePalette.py:19(<module>)
       79    0.001    0.000    0.001    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.001    0.001 api.py:1(<module>)
        6    0.000    0.000    0.001    0.000 gettext.py:211(_expand_lang)
     1977    0.001    0.000    0.001    0.000 sre_parse.py:164(__getitem__)
        1    0.000    0.000    0.001    0.001 FpxImagePlugin.py:17(<module>)
      164    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:385(cached)
  354/101    0.001    0.000    0.001    0.000 sre_parse.py:174(getwidth)
        1    0.000    0.000    0.001    0.001 thread.py:4(<module>)
      100    0.001    0.000    0.001    0.000 {method 'read' of '_io.BufferedReader' objects}
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:431(_get_cached)
       43    0.000    0.000    0.001    0.000 sre_compile.py:536(_compile_info)
      368    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
        1    0.000    0.000    0.001    0.001 ElementPath.py:59(<module>)
       86    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
        8    0.000    0.000    0.001    0.000 argparse.py:1385(add_argument)
      100    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:99(_path_isfile)
      105    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:90(_path_is_mode_type)
      610    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:64(<listcomp>)
        4    0.001    0.000    0.001    0.000 {built-in method _thread.start_new_thread}
4171/3855    0.001    0.000    0.001    0.000 {built-in method builtins.len}
        1    0.000    0.000    0.001    0.001 locale.py:1(<module>)
        1    0.000    0.000    0.001    0.001 EpsImagePlugin.py:23(<module>)
        1    0.000    0.000    0.001    0.001 XVThumbImagePlugin.py:20(<module>)
       79    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1017(path_stats)
        1    0.000    0.000    0.000    0.000 argparse.py:1817(parse_args)
        1    0.000    0.000    0.000    0.000 argparse.py:1824(parse_known_args)
        1    0.000    0.000    0.000    0.000 queue.py:1(<module>)
        1    0.000    0.000    0.000    0.000 argparse.py:1863(_parse_known_args)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1433(_get_spec)
        1    0.000    0.000    0.000    0.000 GifImagePlugin.py:27(<module>)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:34(<module>)
     2885    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
       69    0.000    0.000    0.000    0.000 sre_compile.py:411(_mk_bitmap)
      808    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       58    0.000    0.000    0.000    0.000 sre_parse.py:96(closegroup)
        1    0.000    0.000    0.000    0.000 TiffTags.py:20(<module>)
     1267    0.000    0.000    0.000    0.000 sre_parse.py:249(match)
        1    0.000    0.000    0.000    0.000 ImImagePlugin.py:29(<module>)
        8    0.000    0.000    0.000    0.000 argparse.py:2534(_get_formatter)
        1    0.000    0.000    0.000    0.000 XpmImagePlugin.py:18(<module>)
        8    0.000    0.000    0.000    0.000 argparse.py:161(__init__)
        1    0.000    0.000    0.000    0.000 argparse.py:2008(consume_positionals)
        1    0.000    0.000    0.000    0.000 _base.py:627(__exit__)
        1    0.000    0.000    0.000    0.000 CoulAdj-Py.py:387(stringify)
        1    0.000    0.000    0.000    0.000 thread.py:210(shutdown)
      533    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        1    0.000    0.000    0.000    0.000 IcnsImagePlugin.py:18(<module>)
        1    0.000    0.000    0.000    0.000 PalmImagePlugin.py:10(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:1001(join)
       86    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        1    0.000    0.000    0.000    0.000 PalmImagePlugin.py:84(build_prototype_image)
        1    0.000    0.000    0.000    0.000 DcxImagePlugin.py:24(<module>)
      123    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1272(_path_importer_cache)
        3    0.000    0.000    0.000    0.000 argparse.py:1303(__init__)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:636(spec_from_file_location)
      164    0.000    0.000    0.000    0.000 sre_compile.py:423(_simple)
        1    0.000    0.000    0.000    0.000 model.py:1(<module>)
        4    0.000    0.000    0.000    0.000 threading.py:1039(_wait_for_tstate_lock)
        5    0.000    0.000    0.000    0.000 PngImagePlugin.py:888(load_read)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:500(_classify_pyc)
        2    0.000    0.000    0.000    0.000 re.py:188(match)
       79    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      509    0.000    0.000    0.000    0.000 sre_parse.py:172(append)
      499    0.000    0.000    0.000    0.000 sre_parse.py:286(tell)
      154    0.000    0.000    0.000    0.000 sre_compile.py:249(_compile_charset)
      674    0.000    0.000    0.000    0.000 sre_parse.py:160(__len__)
        2    0.000    0.000    0.000    0.000 __init__.py:345(namedtuple)
        1    0.000    0.000    0.000    0.000 ImtImagePlugin.py:18(<module>)
      237    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_unpack_uint32)
      806    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      142    0.000    0.000    0.000    0.000 sre_parse.py:432(_uniq)
      234    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
       69    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1259(_path_hooks)
      682    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
        1    0.000    0.000    0.000    0.000 TiffTags.py:360(_populate)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:533(_validate_timestamp_pyc)
        7    0.000    0.000    0.000    0.000 abc.py:84(__new__)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
       43    0.000    0.000    0.000    0.000 enum.py:852(__and__)
      676    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.000    0.000 argparse.py:2160(_match_arguments_partial)
      769    0.000    0.000    0.000    0.000 _binary.py:25(o8)
      158    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:68(_path_split)
      633    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1160    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
      512    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1486(_fill_cache)
      111    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x557e3291c020}
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
     1378    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
        5    0.000    0.000    0.000    0.000 {built-in method posix.listdir}
        3    0.000    0.000    0.000    0.000 argparse.py:1910(take_action)
        1    0.000    0.000    0.000    0.000 olefile.py:1(<module>)
      315    0.000    0.000    0.000    0.000 sre_parse.py:111(__init__)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.eval}
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
        3    0.000    0.000    0.000    0.000 argparse.py:2412(_get_values)
       43    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
       88    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      259    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
        1    0.000    0.000    0.000    0.000 WebPImagePlugin.py:1(<module>)
       77    0.000    0.000    0.000    0.000 sre_parse.py:355(_escape)
        1    0.000    0.000    0.000    0.000 PngImagePlugin.py:879(load_prepare)
       58    0.000    0.000    0.000    0.000 sre_parse.py:84(opengroup)
        1    0.000    0.000    0.000    0.000 ImageFile.py:288(load_prepare)
        1    0.000    0.000    0.000    0.000 {built-in method PIL._imaging.new}
      104    0.000    0.000    0.000    0.000 TiffTags.py:26(__new__)
        2    0.000    0.000    0.000    0.000 argparse.py:2468(_get_value)
        7    0.000    0.000    0.000    0.000 PngImagePlugin.py:151(read)
        4    0.000    0.000    0.000    0.000 threading.py:777(__init__)
      142    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       10    0.000    0.000    0.000    0.000 threading.py:228(__init__)
        2    0.000    0.000    0.000    0.000 argparse.py:1249(__call__)
       88    0.000    0.000    0.000    0.000 enum.py:289(__call__)
        2    0.000    0.000    0.000    0.000 {built-in method io.open}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1527(path_hook_for_FileFinder)
        1    0.000    0.000    0.000    0.000 TiffImagePlugin.py:403(ImageFileDirectory_v2)
       79    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:463(_check_name_wrapper)
        1    0.000    0.000    0.000    0.000 argparse.py:1931(consume_optional)
        8    0.000    0.000    0.000    0.000 shutil.py:1316(get_terminal_size)
    29/28    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
        1    0.000    0.000    0.000    0.000 BlpImagePlugin.py:1(<module>)
        2    0.000    0.000    0.000    0.000 argparse.py:899(__init__)
        4    0.000    0.000    0.000    0.000 threading.py:404(acquire)
        1    0.000    0.000    0.000    0.000 ImageFile.py:30(<module>)
       50    0.000    0.000    0.000    0.000 __init__.py:1412(debug)
        1    0.000    0.000    0.000    0.000 ImageFile.py:92(__init__)
       79    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
